AccX,AccY,AccZ,MX,MY,MZ,YAW,PITCH,ROLE
52.79,5,-238.34,0,0,0,-32.66,-2.26,13.85,wrong_trick
93.63,-1,-67.37,0,0,0,-289.66,-2.26,16.85
-66.74,-131,-372.15,0,0,0,242.34,36.74,7.85
-8.96,69,-311.75,0,0,0,-31.66,-39.26,-113.15
-42.83,-26,-389.81,0,0,0,47.34,80.74,33.85
111.56,-48,-163.08,0,0,0,-106.66,85.74,-145.15
100.61,55,-229.05,0,0,0,-14.66,25.74,30.85
-45.82,11,-256,0,0,0,17.34,-63.26,20.85
65.74,4,-235.56,0,0,0,-38.66,2.74,15.85
64.75,7,-232.77,0,0,0,-18.66,-4.26,20.85
91.64,55,-241.13,0,0,0,65.34,-11.26,83.85
58.77,89,-215.11,0,0,0,80.34,25.74,139.85
76.7,25,-287.59,0,0,0,-51.66,0.74,133.85
62.75,31,-267.15,0,0,0,561.34,-40.26,-92.15
-23.91,55,-57.15,0,0,0,-373.66,-42.26,-745.15
68.73,79,-181.66,0,0,0,-325.66,95.74,-55.15
-141.45,-12,413.04,0,0,0,-857.66,-47.26,10.85
45.82,20,-296.89,0,0,0,424.34,5.74,119.85
94.63,7,-413.97,0,0,0,-100.66,-159.26,-364.15
-64.75,-145,-97.1,0,0,0,308.34,-915.26,2521.85
